"","CB62_E8","CB62_L4i","E32C1_E8","E32C1_L4i","E32C4_E8","E32C4_L4i","E32C6_E8","E32C6_L4i","E5C3_E8","E5C3_L4i","H9_E8","H9_L4i","RUES01_E8","RUES01_L4i","RUES02_E8","RUES02_L4i"
"ENSG00000160072",4546,7761,5533,5299,7950,14080,3475,9097,1821,6411,8137,2374,2914,7666,14497,14069
"ENSG00000279928",3,0,0,1,2,0,0,0,0,6,12,8,0,1,0,2
"ENSG00000228037",0,0,3,0,1,2,0,0,0,0,4,1,1,2,9,0
"ENSG00000142611",139,69,219,112,300,78,72,50,269,170,838,92,60,14,323,330
"ENSG00000284616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000157911",1997,1248,5262,2614,8095,4070,2340,1997,1128,1988,4777,953,1644,1565,6777,4838
"ENSG00000269896",51,104,214,181,222,336,81,185,24,121,174,68,106,220,262,528
"ENSG00000228463",5,1,0,7,1,0,0,4,4,0,5,1,2,0,5,0
"ENSG00000260972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224340",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226374",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229280",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ENSG00000142655",5085,2513,7563,5352,10900,6027,2789,4008,2224,2846,7070,2341,3081,2313,12534,7136
"ENSG00000232596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,9,0,0,0,1,1,1,0,0,0,0,0
"ENSG00000231510",2,10,1,15,3,19,0,17,1,13,0,1,6,10,6,21
"ENSG00000149527",22,11,105,56,169,29,62,38,13,40,132,31,31,48,98,145
"ENSG00000284739",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"ENSG00000171621",874,676,2334,1897,3157,1320,953,1144,638,1650,1511,582,676,888,3193,3126
"ENSG00000272235",0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,4
"ENSG00000284694",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSG00000224387",0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2
"ENSG00000142583",6,4,26,28,29,46,8,28,3,12,28,10,10,12,25,40
