"","ph.kmeans.cluster","gene","cluster_label"
"1",5,"LOC729737","four_cell_RNA"
"2",2,"OR4F5","maternal_oocyte_RNA"
"3",5,"LOC100288069","four_cell_RNA"
"4",5,"LINC00115","four_cell_RNA"
"5",3,"FAM41C","maternal_1C_2C_RNA"
"6",5,"KLHL17","four_cell_RNA"
"7",3,"LINC02593","maternal_1C_2C_RNA"
"8",4,"DDX11L1","hESC_RNA"
"9",1,"WASH7P","ICM_RNA"
"10",2,"SAMD11","maternal_oocyte_RNA"
"11",4,"NOC2L","hESC_RNA"
"12",1,"LINC01128","ICM_RNA"
"13",4,"LOC100288175","hESC_RNA"
"14",4,"RNF223","hESC_RNA"
"15",2,"HES4","maternal_oocyte_RNA"
"16",4,"ISG15","hESC_RNA"
"17",4,"AGRN","hESC_RNA"
"18",2,"C1orf159","maternal_oocyte_RNA"
"19",4,"PLEKHN1","hESC_RNA"
"20",2,"PERM1","maternal_oocyte_RNA"
"21",1,"MIR200A","ICM_RNA"
"22",4,"TNFRSF18","hESC_RNA"
"23",2,"LINC01342","maternal_oocyte_RNA"
"24",1,"TTLL10","ICM_RNA"
"25",2,"B3GALT6","maternal_oocyte_RNA"
"26",2,"C1QTNF12","maternal_oocyte_RNA"
"27",6,"SCNN1D","eight_cell_RNA"
"28",4,"UBE2J2","hESC_RNA"
"29",5,"SDF4","four_cell_RNA"
"30",4,"CPTP","hESC_RNA"
"31",2,"MXRA8","maternal_oocyte_RNA"
"32",6,"TAS1R3","eight_cell_RNA"
"33",3,"DVL1","maternal_1C_2C_RNA"
"34",4,"PUSL1","hESC_RNA"
"35",4,"INTS11","hESC_RNA"
"36",3,"MIR6727","maternal_1C_2C_RNA"
"37",6,"ACAP3","eight_cell_RNA"
"38",4,"AURKAIP1","hESC_RNA"
"39",1,"TMEM88B","ICM_RNA"
"40",4,"LINC01770","hESC_RNA"
"41",6,"ANKRD65","eight_cell_RNA"
"42",5,"MRPL20-AS1","four_cell_RNA"
"43",5,"MRPL20","four_cell_RNA"
"44",4,"VWA1","hESC_RNA"
"45",5,"CCNL2","four_cell_RNA"
"46",2,"ATAD3B","maternal_oocyte_RNA"
"47",6,"ATAD3C","eight_cell_RNA"
"48",2,"ATAD3A","maternal_oocyte_RNA"
"49",2,"SSU72","maternal_oocyte_RNA"
"50",4,"TMEM240","hESC_RNA"
"51",5,"SLC35E2A","four_cell_RNA"
"52",6,"MMP23B","eight_cell_RNA"
"53",2,"FNDC10","maternal_oocyte_RNA"
"54",2,"LOC105378586","maternal_oocyte_RNA"
"55",1,"TMEM52","ICM_RNA"
