"","PARPKO_r1","PARPKO_r2","PARPKO_r3","WT_r1","WT_r2","WT_r3"
"ENSMUSG00000104478",0,0,0,0,0,0
"Gm7449",0,0,5,1,1,1
"ENSMUSG00000101231",0,0,0,0,0,0
"Gm6679",0,0,0,1,0,0
"ENSMUSG00000100764",0,0,0,2,2,2
"Gm17847",0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0
"ENSMUSG00000100635",0,1,0,0,2,0
"ENSMUSG00000100480",4,4,6,2,4,10
"Gm22159",0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0
"Gm8141",3,6,8,9,8,14
"Cdh7",6,7,18,3,0,0
"Gm18552",3,1,0,1,1,0
"Gm3332",0,0,0,0,0,0
"Gm6693",0,0,0,0,0,0
"Exo1",2123,1984,3780,2880,2818,3266
"Gm23805",0,0,0,1,0,0
"Becn2",1,2,0,0,0,1
"ENSMUSG00000103540",0,0,0,0,0,0
"Uxs1",574,547,1346,701,693,1336
"Cdh19",0,0,0,0,0,1
"ENSMUSG00000102788",0,1,0,0,0,0
"ENSMUSG00000102160",0,0,0,0,0,0
"ENSMUSG00000101253",0,0,0,0,0,0
"ENSMUSG00000101846",0,0,0,0,0,0
"ENSMUSG00000090243",0,2,1,1,2,7
"ENSMUSG00000100701",4,3,8,1,5,4
"Gm8173",0,0,1,0,1,1
"ENSMUSG00000101395",0,0,0,0,2,0
"ENSMUSG00000102728",15,7,4,10,8,8
"Gm26352",0,0,0,0,0,0
"ENSMUSG00002075225",0,0,0,0,0,0
"Dsel",313,266,704,405,400,497
"Gm6028",0,0,4,1,1,0
"Gm17752",0,0,0,0,0,1
"ENSMUSG00000101220",0,0,1,1,0,1
"ENSMUSG00000100020",0,0,2,1,0,2
"Gm22331",0,0,0,0,0,0
"Gm8204",0,0,0,0,0,0
"ENSMUSG00000100304",0,0,0,0,0,0
"ENSMUSG00000101453",0,0,0,0,0,0
"Gm17946",0,0,0,0,0,0
"Gm18181",0,0,0,0,0,0
"ENSMUSG00002075119",0,0,0,0,0,0
"Gm4854",1,0,1,0,0,0
"Pld5",1,5,6,0,0,0
"ENSMUSG00000078184",3,3,14,4,7,6
"ENSMUSG00000104363",0,0,0,0,0,0
"ENSMUSG00000103277",0,0,0,0,0,0
"ENSMUSG00000104157",0,0,0,0,0,0
"Gm17965",0,0,0,0,0,0
"ENSMUSG00000104248",0,0,1,0,0,0
"Gm17966",0,0,0,0,0,0
"Gm26104",0,0,0,0,0,0
"Cntnap5a",0,0,0,0,0,0
"ENSMUSG00002076179",0,0,0,0,0,0
"ENSMUSG00000102033",0,0,0,0,0,0
"LOC139355246",0,0,1,0,0,2
"Gm24765",0,0,0,0,0,0
"Gm18300",0,0,0,0,0,0
"Rrs1",678,570,1005,1015,990,998
"LOC139424762",1,1,25,8,4,10
"Adhfe1",95,91,193,203,178,292
"Gm6161",3,1,0,0,1,2
"Vxn",0,0,0,0,0,0
"ENSMUSG00000099827",1,1,0,0,0,0
"Cep170",1093,1084,3424,1685,1576,3146
"ENSMUSG00000103634",0,0,0,1,1,2
"ENSMUSG00000104154",0,0,8,3,1,5
"Mir350",0,0,0,0,0,0
"ENSMUSG00002076271",0,0,0,1,1,0
"Mybl1",1065,1062,2339,1672,1476,3761
"Vcpip1",1203,1171,2999,1980,1833,2904
"Tpp2",3627,3462,8769,5321,4989,9409
"Sdccag8",134,144,274,235,204,445
"ENSMUSG00000103367",0,0,0,0,0,0
"ENSMUSG00000103584",0,0,4,0,0,0
"ENSMUSG00002076339",0,0,0,0,0,0
"ENSMUSG00000102475",1,0,0,1,0,1
"Mettl21c",3,2,10,11,3,6
"ENSMUSG00000102211",1,0,0,1,0,0
"ENSMUSG00000090106",0,0,0,1,2,0
"ENSMUSG00000103251",0,0,0,1,3,0
"Ccdc168",0,2,8,10,3,2
"Niban1",720,748,1773,1334,1286,3101
"Mir6343",0,0,0,0,0,0
"Gm816",0,0,0,0,0,0
"ENSMUSG00000102904",0,0,0,0,0,0
