"","PARPKO_r1","PARPKO_r2","PARPKO_r3","WT_r1","WT_r2","WT_r3"
"ENSMUSG00000104478",0,0,0,0,0,0
"ENSMUSG00000104385",0,0,5,1,1,1
"ENSMUSG00000101231",0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,1,0,0
"ENSMUSG00000100764",0,0,0,2,2,2
"ENSMUSG00000100831",0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0
"ENSMUSG00000100635",0,1,0,0,2,0
"ENSMUSG00000100480",4,4,6,2,4,10
"ENSMUSG00000089037",0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0
"ENSMUSG00000100025",3,6,8,9,8,14
"ENSMUSG00000026312",6,7,18,3,0,0
"ENSMUSG00000100290",3,1,0,1,1,0
"ENSMUSG00000100758",0,0,0,0,0,0
"ENSMUSG00000099926",0,0,0,0,0,0
"ENSMUSG00000039748",2123,1984,3780,2880,2818,3266
"ENSMUSG00000118715",0,0,0,1,0,0
"ENSMUSG00000104158",1,2,0,0,0,1
"ENSMUSG00000103540",0,0,0,0,0,0
"ENSMUSG00000057363",574,547,1346,701,693,1336
"ENSMUSG00000047216",0,0,0,0,0,1
"ENSMUSG00000102788",0,1,0,0,0,0
"ENSMUSG00000102160",0,0,0,0,0,0
"ENSMUSG00000101253",0,0,0,0,0,0
"ENSMUSG00000101846",0,0,0,0,0,0
"ENSMUSG00000090243",0,2,1,1,2,7
"ENSMUSG00000100701",4,3,8,1,5,4
"ENSMUSG00000100555",0,0,1,0,1,1
"ENSMUSG00000101395",0,0,0,0,2,0
"ENSMUSG00000102728",15,7,4,10,8,8
"ENSMUSG00000088848",0,0,0,0,0,0
"ENSMUSG00002075225",0,0,0,0,0,0
"ENSMUSG00000038702",313,266,704,405,400,497
"ENSMUSG00000101875",0,0,4,1,1,0
"ENSMUSG00000099732",0,0,0,0,0,1
"ENSMUSG00000101220",0,0,1,1,0,1
"ENSMUSG00000100020",0,0,2,1,0,2
"ENSMUSG00000088691",0,0,0,0,0,0
"ENSMUSG00000099884",0,0,0,0,0,0
"ENSMUSG00000100304",0,0,0,0,0,0
"ENSMUSG00000101453",0,0,0,0,0,0
"ENSMUSG00000102105",0,0,0,0,0,0
"ENSMUSG00000099943",0,0,0,0,0,0
"ENSMUSG00002075119",0,0,0,0,0,0
"ENSMUSG00000101687",1,0,1,0,0,0
"ENSMUSG00000055214",1,5,6,0,0,0
"ENSMUSG00000078184",3,3,14,4,7,6
"ENSMUSG00000104363",0,0,0,0,0,0
"ENSMUSG00000103277",0,0,0,0,0,0
"ENSMUSG00000104157",0,0,0,0,0,0
"ENSMUSG00000102446",0,0,0,0,0,0
"ENSMUSG00000104248",0,0,1,0,0,0
"ENSMUSG00000103471",0,0,0,0,0,0
"ENSMUSG00000087875",0,0,0,0,0,0
"ENSMUSG00000070695",0,0,0,0,0,0
"ENSMUSG00002076179",0,0,0,0,0,0
"ENSMUSG00000102033",0,0,0,0,0,0
"ENSMUSG00000094429",0,0,1,0,0,2
"ENSMUSG00000065625",0,0,0,0,0,0
"ENSMUSG00000103411",0,0,0,0,0,0
"ENSMUSG00000061024",678,570,1005,1015,990,998
"ENSMUSG00000102030",1,1,25,8,4,10
"ENSMUSG00000025911",95,91,193,203,178,292
"ENSMUSG00000081441",3,1,0,0,1,2
"ENSMUSG00000067879",0,0,0,0,0,0
"ENSMUSG00000099827",1,1,0,0,0,0
"ENSMUSG00000057335",1093,1084,3424,1685,1576,3146
"ENSMUSG00000103634",0,0,0,1,1,2
"ENSMUSG00000104154",0,0,8,3,1,5
"ENSMUSG00000065573",0,0,0,0,0,0
"ENSMUSG00002076271",0,0,0,1,1,0
"ENSMUSG00000025912",1065,1062,2339,1672,1476,3761
"ENSMUSG00000045210",1203,1171,2999,1980,1833,2904
"ENSMUSG00000041763",3627,3462,8769,5321,4989,9409
"ENSMUSG00000026504",134,144,274,235,204,445
"ENSMUSG00000103367",0,0,0,0,0,0
"ENSMUSG00000103584",0,0,4,0,0,0
"ENSMUSG00002076339",0,0,0,0,0,0
"ENSMUSG00000102475",1,0,0,1,0,1
"ENSMUSG00000047343",3,2,10,11,3,6
"ENSMUSG00000102211",1,0,0,1,0,0
"ENSMUSG00000090106",0,0,0,1,2,0
"ENSMUSG00000103251",0,0,0,1,3,0
"ENSMUSG00000091844",0,2,8,10,3,2
"ENSMUSG00000026483",720,748,1773,1334,1286,3101
"ENSMUSG00000098611",0,0,0,0,0,0
"ENSMUSG00000100534",0,0,0,0,0,0
"ENSMUSG00000102904",0,0,0,0,0,0
"ENSMUSG00002076350",0,0,0,0,0,0
"ENSMUSG00000019699",573,489,1376,516,516,1334
"ENSMUSG00000104391",2,2,9,1,0,1
"ENSMUSG00000102133",0,0,0,0,1,1
"ENSMUSG00000102749",0,0,4,0,1,0
"ENSMUSG00000103163",0,1,11,0,0,0
"ENSMUSG00000103646",1,2,3,0,0,0
"ENSMUSG00000102427",0,0,0,0,0,0
"ENSMUSG00000063659",678,640,1445,813,732,1147
"ENSMUSG00000026049",625,584,712,789,739,792
"ENSMUSG00000103767",0,0,0,1,0,0
"ENSMUSG00000043019",1643,1544,4004,2414,2275,3808
"ENSMUSG00000101104",0,0,0,0,0,0
"ENSMUSG00000015962",2,2,1,8,4,10
"ENSMUSG00000032666",339,311,858,373,367,556
"ENSMUSG00000084557",1,0,0,0,0,0
"ENSMUSG00000100685",0,0,3,0,1,0
"ENSMUSG00000102090",1,1,1,1,0,2
"ENSMUSG00000103744",0,0,0,0,0,0
"ENSMUSG00000015961",5343,5195,12188,7238,7029,10077
"ENSMUSG00000089657",3,2,11,0,1,1
"ENSMUSG00000102483",2,5,10,0,0,2
"ENSMUSG00000014980",229,228,428,258,285,437
"ENSMUSG00000026235",1758,1586,4890,3619,3337,7513
"ENSMUSG00000099141",0,0,0,1,0,2
"ENSMUSG00000032649",3,3,0,5,1,3
"ENSMUSG00000101849",10,3,10,10,11,21
"ENSMUSG00000101506",0,0,0,0,0,0
"ENSMUSG00000065215",0,0,0,0,0,0
"ENSMUSG00000026047",798,741,1208,1051,978,1551
"ENSMUSG00000080878",0,0,0,0,0,0
"ENSMUSG00000091476",0,0,0,0,2,0
"ENSMUSG00000104097",1,1,6,0,0,9
"ENSMUSG00000119789",0,0,0,0,0,0
"ENSMUSG00000102493",0,0,0,0,0,1
"ENSMUSG00000041684",618,528,1376,691,741,1228
