human_gene_name,mouse_gene_name,zou_annotation,zygote,twoC,fourC,eightC,ICM,E8,L4i,WT_mESC,PARPKO_mESC
FOXI3,Foxi3,ICM,-0.359262473,-0.433780588,-0.741125984,0.09048087,1.443688174,-0.929073067,0.929073067,-0.468265435,0.468265435
CCDC47,Ccdc47,ICM,-0.761366937,-0.777346368,-0.575998813,0.602439873,1.512272244,-0.918978099,0.918978099,-0.867861047,0.867861047
CACHD1,Cachd1,ICM,-0.379568603,-0.537247663,-0.466519073,-0.468270156,1.851605495,-0.899270391,0.899270391,-0.893525191,0.893525191
FGF4,Fgf4,ICM,-0.445903697,-0.445903697,-0.445903697,-0.377156791,1.714867883,-0.894854432,0.894854432,0.899684076,-0.899684076
NMI,Nmi,ICM,-0.517828189,-0.517828189,-0.44213449,-0.386307867,1.864098735,-0.890682633,0.890682633,-0.881914195,0.881914195
KLF4,Klf4,ICM,-0.795192582,-0.804358949,-0.286803814,0.186172746,1.700182599,-0.884482798,0.884482798,0.907233036,-0.907233036
EIF3K,Eif3k,ICM,-0.71915169,-0.695421458,-0.677180179,0.429049416,1.662703912,-0.878512877,0.878512877,0.656828861,-0.656828861
JMJD6,Jmjd6,ICM,-0.380317204,-0.492664636,-0.971535628,0.145251518,1.699265949,-0.876668731,0.876668731,-0.728770275,0.728770275
CHCHD10,Chchd10,ICM,-0.409683531,-0.409683531,-0.390404746,-0.340066122,1.549837931,-0.874245779,0.874245779,0.299488083,-0.299488083
KIF9,Kif9,ICM,-0.490511779,-0.259527901,-0.828014473,-0.21783837,1.795892522,-0.870448364,0.870448364,-0.76842088,0.76842088
SHISA5,Shisa5,ICM,-0.407966286,-0.456110031,-0.520178619,-0.503971156,1.888226092,-0.868578323,0.868578323,0.665841371,-0.665841371
GUK1,Guk1,ICM,-0.484504319,-0.498749399,-0.486529508,-0.356725109,1.826508335,-0.866663262,0.866663262,-0.891518039,0.891518039
CANX,Canx,ICM,-0.42826893,-0.597205946,-0.415870152,-0.390910309,1.832255338,-0.862102874,0.862102874,-0.832141356,0.832141356
