"","zygote_r1","zygote_r2","twoC_r1","twoC_r2","fourC_r1","fourC_r2","eightC_r1","eightC_r2","ICM_r1","ICM_r2"
"ENSG00000160072",0,0,0,3,3,1,4,11,150,154
"ENSG00000279928",2,0,0,1,2,0,0,0,0,4
"ENSG00000228037",0,0,0,0,0,0,0,1,2,0
"ENSG00000142611",12,17,6,10,8,13,10,0,3,0
"ENSG00000284616",0,0,0,0,0,25,0,0,0,0
"ENSG00000157911",0,0,0,0,0,0,0,0,0,1
"ENSG00000269896",0,8,0,0,0,0,0,0,4,0
"ENSG00000228463",443,582,541,578,389,190,119,60,4,1
"ENSG00000260972",0,0,0,0,0,0,0,0,2,0
"ENSG00000224340",0,0,0,0,0,0,0,0,0,0
"ENSG00000226374",0,0,0,0,0,0,0,0,0,0
"ENSG00000229280",0,0,0,0,0,0,0,0,0,0
"ENSG00000142655",77,39,54,60,46,72,28,58,8,38
"ENSG00000232596",0,0,0,0,0,0,0,0,6,0
"ENSG00000235054",0,0,0,0,0,0,0,0,0,0
"ENSG00000231510",0,0,0,0,0,0,0,0,0,0
"ENSG00000149527",2,12,8,8,0,0,0,0,4,0
"ENSG00000284739",0,0,0,0,0,0,0,0,0,0
"ENSG00000171621",78,92,103,95,79,32,8,0,10,30
"ENSG00000272235",0,0,0,0,0,0,0,0,0,4
"ENSG00000284694",0,0,0,0,6,0,0,0,6,2
"ENSG00000224387",0,0,0,0,0,0,0,0,2,0
"ENSG00000142583",2,0,6,0,2,0,7,0,3,0
"ENSG00000284674",0,0,0,0,0,0,0,0,0,0
"ENSG00000224338",0,0,0,0,2,0,0,0,0,0
"ENSG00000116786",48,77,54,88,61,61,38,40,67,64
"ENSG00000287727",0,0,0,0,0,0,0,0,4,0
"ENSG00000286448",0,0,0,0,1,0,0,0,0,0
"ENSG00000284703",0,0,0,0,0,0,0,0,10,0
"ENSG00000226457",0,0,0,0,0,0,0,0,2,0
"ENSG00000173614",30,64,20,54,12,0,389,598,48,87
"ENSG00000215720",0,0,0,0,0,0,0,0,0,0
"ENSG00000241326",0,0,0,0,0,0,0,0,0,0
"ENSG00000233623",0,0,0,0,0,0,0,0,0,0
"ENSG00000162592",722,777,916,716,638,418,130,70,8,0
"ENSG00000204624",0,0,2,0,7,0,33,12,13,3
"ENSG00000142606",0,0,0,0,0,0,0,4,5,9
"ENSG00000225931",0,0,0,0,0,0,0,0,4,0
"ENSG00000171729",64,55,81,88,44,110,24,44,63,80
"ENSG00000279457",1,3,1,0,0,5,2,7,1,7
"ENSG00000229393",0,0,0,0,0,0,0,0,0,0
"ENSG00000037637",46,78,92,117,30,2,8,26,61,8
"ENSG00000287586",0,0,0,0,0,0,0,0,5,0
"ENSG00000159423",0,10,8,4,0,2,0,0,14,40
"ENSG00000227169",0,0,0,0,0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0,0,0,0,0
"ENSG00000011021",14,4,4,24,2,0,6,28,89,82
"ENSG00000142615",11,15,13,0,6,0,0,2,4,0
"ENSG00000215704",1,2,0,0,0,0,0,17,0,0
"ENSG00000157916",405,462,455,861,284,162,116,308,1330,1853
"ENSG00000157881",14,18,12,42,13,0,0,12,34,42
"ENSG00000238290",0,0,0,0,0,0,2,0,6,0
"ENSG00000225387",0,0,0,0,0,0,0,0,0,1
"ENSG00000048707",226,269,363,520,157,72,80,130,106,108
"ENSG00000225196",0,0,0,0,0,0,0,0,0,0
"ENSG00000162444",0,0,0,0,2,0,317,622,50,24
"ENSG00000279625",0,2,0,2,5,2,0,0,2,0
"ENSG00000180758",0,22,0,0,0,0,0,56,20,0
"ENSG00000184677",68,176,106,114,114,128,57,51,113,175
"ENSG00000288398",0,0,6,0,0,4,0,0,10,0
"ENSG00000224621",0,0,0,0,0,0,0,0,0,0
"ENSG00000285833",0,0,0,0,0,0,0,0,0,0
"ENSG00000131697",32,62,68,54,56,73,13,6,23,8
"ENSG00000284692",0,0,2,0,0,0,0,0,0,0
"ENSG00000284745",0,0,0,0,0,0,0,1,0,0
"ENSG00000280222",0,0,0,0,0,6,0,6,6,0
"ENSG00000285945",0,0,0,0,0,0,0,0,0,0
"ENSG00000197921",0,0,0,0,0,0,0,0,4,0
"ENSG00000233755",0,0,0,0,0,0,0,0,0,0
"ENSG00000233929",42,10,64,38,30,16,16,8,6,4
"ENSG00000271742",0,0,0,0,0,0,0,0,0,0
"ENSG00000234166",0,0,0,0,0,0,0,0,0,0
"ENSG00000235282",0,0,0,0,0,0,0,0,0,0
"ENSG00000055070",197,224,180,270,149,226,154,349,338,347
"ENSG00000175087",456,618,494,352,50,0,50,80,13,0
"ENSG00000157191",521,712,524,652,236,352,70,376,115,142
"ENSG00000230035",0,0,0,0,0,0,0,0,0,0
"ENSG00000225643",0,0,0,0,0,0,0,0,0,4
"ENSG00000284666",0,0,0,0,0,0,0,0,0,0
"ENSG00000228943",0,0,0,0,0,0,0,13,2,0
"ENSG00000234397",0,0,0,0,0,0,0,0,0,0
"ENSG00000284309",0,0,0,0,6,13,0,0,2,0
"ENSG00000162511",0,0,0,0,0,0,0,15,25,19
"ENSG00000158014",0,0,0,0,0,0,0,0,22,46
"ENSG00000204138",92,18,120,110,162,54,380,472,156,141
"ENSG00000233419",0,0,0,0,0,0,0,0,0,0
"ENSG00000235263",0,0,0,0,0,0,0,0,2,0
"ENSG00000228176",0,0,0,0,0,0,0,0,0,0
"ENSG00000231251",0,0,0,0,0,0,0,0,0,0
"ENSG00000142675",3,0,4,0,0,2,6,6,14,4
"ENSG00000197245",0,0,0,2,2,0,6,22,0,2
"ENSG00000130772",22,68,98,176,18,0,18,60,126,74
"ENSG00000215899",0,0,0,0,0,0,0,0,0,0
"ENSG00000271398",0,2,0,0,4,0,4,2,0,0
"ENSG00000225011",0,0,0,0,0,0,0,0,0,0
"ENSG00000235069",0,0,0,0,0,0,0,0,0,0
"ENSG00000284676",0,5,0,0,0,0,2,0,4,0
"ENSG00000237058",0,0,0,0,0,0,0,0,0,0
"ENSG00000233399",0,0,2,0,6,0,0,0,2,0
"ENSG00000090020",98,89,158,126,120,62,69,32,116,51
"ENSG00000157978",174,214,142,168,83,66,28,22,22,40
"ENSG00000130770",185,165,253,276,217,355,1862,3667,560,531
"ENSG00000229044",0,0,0,0,0,0,0,0,0,0
"ENSG00000162512",4,10,0,0,6,0,0,4,2,8
"ENSG00000158006",42,52,36,16,22,65,28,54,99,34
"ENSG00000214812",2,4,0,0,4,0,2,16,4,4
"ENSG00000126698",1360,2278,1614,2610,1668,2393,3660,14338,1346,1907
"ENSG00000229447",0,0,0,0,0,0,6,13,35,44
"ENSG00000229607",0,0,0,0,0,0,0,0,0,0
"ENSG00000130766",70,66,100,46,65,120,82,64,103,122
"ENSG00000168528",18,16,28,52,18,16,6,2,4,24
"ENSG00000196581",0,0,2,0,0,2,0,1,2,20
"ENSG00000169403",0,0,0,0,2,0,6,0,4,8
"ENSG00000084628",0,0,0,0,0,0,0,4,7,3
"ENSG00000060688",460,620,412,386,241,254,415,362,533,1099
"ENSG00000171612",152,234,158,146,180,245,321,259,206,200
"ENSG00000270927",0,0,0,0,0,0,0,0,0,0
"ENSG00000188910",0,0,0,2,0,0,0,0,5,0
"ENSG00000230523",0,0,0,0,0,0,0,0,4,2
"ENSG00000116138",340,715,552,661,431,342,89,230,224,126
"ENSG00000158161",188,134,279,316,287,58,289,603,189,218
"ENSG00000142684",0,0,0,0,0,0,0,0,0,0
"ENSG00000121769",5,0,4,13,13,0,0,8,841,822
"ENSG00000142627",0,0,0,0,0,0,6,1,10,0
"ENSG00000284668",14,7,8,38,4,0,20,0,0,0
"ENSG00000233234",0,0,0,0,0,0,0,0,0,0
"ENSG00000142632",0,2,0,0,0,0,0,23,5,0
"ENSG00000234593",0,0,0,0,0,0,2,0,0,4
"ENSG00000270605",0,0,0,0,2,0,18,0,2,2
"ENSG00000189337",50,62,43,42,16,86,4,0,86,6
"ENSG00000235084",8,12,4,2,9,0,14,8,44,42
"ENSG00000235143",0,0,0,0,0,0,0,0,0,0
"ENSG00000225478",6,0,2,6,0,5,0,0,0,0
"ENSG00000028137",2,0,12,8,8,16,0,0,0,0
"ENSG00000204464",0,0,0,0,0,0,0,0,0,0
"ENSG00000233372",0,0,0,0,0,6,0,0,1,0
"ENSG00000283259",0,0,0,0,0,0,0,0,0,0
"ENSG00000284543",0,0,0,0,24,38,47,64,8,14
"ENSG00000130939",125,146,122,108,131,22,279,298,161,160
"ENSG00000175147",0,5,3,9,0,2,0,6,6,2
"ENSG00000127472",0,0,0,0,0,0,0,0,2,1
"ENSG00000060656",0,0,0,0,0,0,2,2,65,52
"ENSG00000163867",116,77,152,107,21,45,118,415,46,23
"ENSG00000232768",0,0,0,0,0,0,0,0,0,0
"ENSG00000230214",38,19,16,0,8,0,6,0,0,0
"ENSG00000189280",0,0,0,0,0,0,0,0,3,0
"ENSG00000134698",0,26,0,12,2,1,2,62,20,28
"ENSG00000134690",1234,2044,1486,2750,1189,2596,557,1096,260,375
"ENSG00000272420",0,0,0,0,0,0,0,0,0,4
"ENSG00000132881",0,0,6,0,0,2,0,0,2,0
"ENSG00000273274",86,121,81,154,51,58,4,74,4,0
"ENSG00000272510",0,0,0,0,0,0,0,0,0,0
"ENSG00000236648",0,0,0,0,0,0,0,0,0,0
"ENSG00000232273",0,0,0,0,0,0,0,5,2,0
"ENSG00000009709",0,0,0,0,0,2,6,12,0,2
"ENSG00000287396",0,0,0,0,20,0,2,9,0,0
"ENSG00000223589",0,0,0,0,0,0,0,0,4,0
"ENSG00000158008",0,2,6,2,6,0,0,4,4,0
"ENSG00000130940",0,0,0,0,1,86,16,0,2,0
"ENSG00000116771",21,28,63,52,23,21,17,6,4,0
"ENSG00000237301",205,198,184,225,191,50,48,87,2,1
"ENSG00000163879",0,0,0,0,2,1,0,2,2,32
