"","zygote_r1","zygote_r2","twoC_r1","twoC_r2","fourC_r1","fourC_r2","eightC_r1","eightC_r2","ICM_r1","ICM_r2"
"ATAD3B",0,0,0,3,3,1,4,11,150,154
"ENSG00000279928",2,0,0,1,2,0,0,0,0,4
"ENSG00000228037",0,0,0,0,0,0,0,1,2,0
"PRDM16",12,17,6,10,8,13,10,0,3,0
"ENSG00000284616",0,0,0,0,0,25,0,0,0,0
"PEX10",0,0,0,0,0,0,0,0,0,1
"ENSG00000269896",0,8,0,0,0,0,0,0,4,0
"RPL23AP21",443,582,541,578,389,190,119,60,4,1
"ENSG00000260972",0,0,0,0,0,0,0,0,2,0
"RPL21P21",0,0,0,0,0,0,0,0,0,0
"LINC01345",0,0,0,0,0,0,0,0,0,0
"EEF1DP6",0,0,0,0,0,0,0,0,0,0
"PEX14",77,39,54,60,46,72,28,58,8,38
"LINC01646",0,0,0,0,0,0,0,0,6,0
"LINC01777",0,0,0,0,0,0,0,0,0,0
"ENSG00000231510",0,0,0,0,0,0,0,0,0,0
"PLCH2",2,12,8,8,0,0,0,0,4,0
"ENSG00000284739",0,0,0,0,0,0,0,0,0,0
"SPSB1",78,92,103,95,79,32,8,0,10,30
"ENSG00000272235",0,0,0,0,0,0,0,0,0,4
"ENSG00000284694",0,0,0,0,6,0,0,0,6,2
"ENSG00000224387",0,0,0,0,0,0,0,0,2,0
"SLC2A5",2,0,6,0,2,0,7,0,3,0
"LINC02781",0,0,0,0,0,0,0,0,0,0
"MTCYBP45",0,0,0,0,2,0,0,0,0,0
"PLEKHM2",48,77,54,88,61,61,38,40,67,64
"ENSG00000287727",0,0,0,0,0,0,0,0,4,0
"ENSG00000286448",0,0,0,0,1,0,0,0,0,0
"ENSG00000284703",0,0,0,0,0,0,0,0,10,0
"RPL22P3",0,0,0,0,0,0,0,0,2,0
"NMNAT1",30,64,20,54,12,0,389,598,48,87
"ENSG00000215720",0,0,0,0,0,0,0,0,0,0
"ENSG00000241326",0,0,0,0,0,0,0,0,0,0
"PGAM1P11",0,0,0,0,0,0,0,0,0,0
"CCDC27",722,777,916,716,638,418,130,70,8,0
"DISP3",0,0,2,0,7,0,33,12,13,3
"MMEL1",0,0,0,0,0,0,0,4,5,9
"ENSG00000225931",0,0,0,0,0,0,0,0,4,0
"TMEM51",64,55,81,88,44,110,24,44,63,80
"ENSG00000279457",1,3,1,0,0,5,2,7,1,7
"ENSG00000229393",0,0,0,0,0,0,0,0,0,0
"FBXO42",46,78,92,117,30,2,8,26,61,8
"ENSG00000287586",0,0,0,0,0,0,0,0,5,0
"ALDH4A1",0,10,8,4,0,2,0,0,14,40
"ENSG00000227169",0,0,0,0,0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0,0,0,0,0
"CLCN6",14,4,4,24,2,0,6,28,89,82
"CELA2A",11,15,13,0,6,0,0,2,4,0
"CELA2B",1,2,0,0,0,0,0,17,0,0
"RER1",405,462,455,861,284,162,116,308,1330,1853
"PANK4",14,18,12,42,13,0,0,12,34,42
"ENSG00000238290",0,0,0,0,0,0,2,0,6,0
"ENSG00000225387",0,0,0,0,0,0,0,0,0,1
"VPS13D",226,269,363,520,157,72,80,130,106,108
"RPL10P17",0,0,0,0,0,0,0,0,0,0
"RBP7",0,0,0,0,2,0,317,622,50,24
"ENSG00000279625",0,2,0,2,5,2,0,0,2,0
"GPR157",0,22,0,0,0,0,0,56,20,0
"ZBTB40",68,176,106,114,114,128,57,51,113,175
"ENSG00000288398",0,0,6,0,0,4,0,0,10,0
"ENSG00000224621",0,0,0,0,0,0,0,0,0,0
"ENSG00000285833",0,0,0,0,0,0,0,0,0,0
"NPHP4",32,62,68,54,56,73,13,6,23,8
"ENSG00000284692",0,0,2,0,0,0,0,0,0,0
"ENSG00000284745",0,0,0,0,0,0,0,1,0,0
"ENSG00000280222",0,0,0,0,0,6,0,6,6,0
"ENSG00000285945",0,0,0,0,0,0,0,0,0,0
"HES5",0,0,0,0,0,0,0,0,4,0
"ENSG00000233755",0,0,0,0,0,0,0,0,0,0
"ENSG00000233929",42,10,64,38,30,16,16,8,6,4
"ENSG00000271742",0,0,0,0,0,0,0,0,0,0
"ENSG00000234166",0,0,0,0,0,0,0,0,0,0
"ENSG00000235282",0,0,0,0,0,0,0,0,0,0
"SZRD1",197,224,180,270,149,226,154,349,338,347
"PDIK1L",456,618,494,352,50,0,50,80,13,0
"NECAP2",521,712,524,652,236,352,70,376,115,142
"ENSG00000230035",0,0,0,0,0,0,0,0,0,0
"ENSG00000225643",0,0,0,0,0,0,0,0,0,4
"ENSG00000284666",0,0,0,0,0,0,0,0,0,0
"ENSG00000228943",0,0,0,0,0,0,0,13,2,0
"ENSG00000234397",0,0,0,0,0,0,0,0,0,0
"ENSG00000284309",0,0,0,0,6,13,0,0,2,0
"LAPTM5",0,0,0,0,0,0,0,15,25,19
"SLC30A2",0,0,0,0,0,0,0,0,22,46
"PHACTR4",92,18,120,110,162,54,380,472,156,141
"ENSG00000233419",0,0,0,0,0,0,0,0,0,0
"ENSG00000235263",0,0,0,0,0,0,0,0,2,0
"ENSG00000228176",0,0,0,0,0,0,0,0,0,0
"ENSG00000231251",0,0,0,0,0,0,0,0,0,0
"CNKSR1",3,0,4,0,0,2,6,6,14,4
"FAM110D",0,0,0,2,2,0,6,22,0,2
"MED18",22,68,98,176,18,0,18,60,126,74
"EEF1A1P46",0,0,0,0,0,0,0,0,0,0
"ENSG00000271398",0,2,0,0,4,0,4,2,0,0
"ENSG00000225011",0,0,0,0,0,0,0,0,0,0
"ENSG00000235069",0,0,0,0,0,0,0,0,0,0
"ENSG00000284676",0,5,0,0,0,0,2,0,4,0
"MMEL1-AS1",0,0,0,0,0,0,0,0,0,0
"LINC01648",0,0,2,0,6,0,0,0,2,0
"SLC9A1",98,89,158,126,120,62,69,32,116,51
"LDLRAP1",174,214,142,168,83,66,28,22,22,40
"ATP5IF1",185,165,253,276,217,355,1862,3667,560,531
"ENSG00000229044",0,0,0,0,0,0,0,0,0,0
